,Name,URL,ratings,team_id
0,Wayne Hennessey,https://www.fotmob.com/players/36283/wayne-hennessey,6.86,10203
1,Keylor Navas,https://www.fotmob.com/players/51949/keylor-navas,6.33,10203
2,Dean Henderson,https://www.fotmob.com/players/719330/dean-henderson,6.57,10203
3,Steve Cook,https://www.fotmob.com/players/156013/steve-cook,6.42,10203
4,Serge Aurier,https://www.fotmob.com/players/195299/serge-aurier,7.12,10203
5,Willy Boly,https://www.fotmob.com/players/246331/willy-boly,7.16,10203
6,Felipe,https://www.fotmob.com/players/268212/felipe,7.53,10203
7,Scott McKenna,https://www.fotmob.com/players/551805/scott-mckenna,6.41,10203
8,Harry Toffolo,https://www.fotmob.com/players/575804/harry-toffolo,6.57,10203
9,Moussa Niakhaté,https://www.fotmob.com/players/592102/moussa-niakhat,6.45,10203
10,Joe Worrall,https://www.fotmob.com/players/716687/joe-worrall,6.73,10203
11,Renan Lodi,https://www.fotmob.com/players/793876/renan-lodi,6.75,10203
12,Omar Richards,https://www.fotmob.com/players/798608/omar-richards,,10203
13,Giulian Biancone,https://www.fotmob.com/players/990989/giulian-biancone,6.46,10203
14,Neco Williams,https://www.fotmob.com/players/1078788/neco-williams,6.82,10203
15,André Ayew,https://www.fotmob.com/players/95955/andr-ayew,6.07,10203
16,Jonjo Shelvey,https://www.fotmob.com/players/127130/jonjo-shelvey,6.28,10203
17,Cheikhou Kouyaté,https://www.fotmob.com/players/148302/cheikhou-kouyat,6.59,10203
18,Harry Arter,https://www.fotmob.com/players/155129/harry-arter,,10203
19,Jack Colback,https://www.fotmob.com/players/160243/jack-colback,6.53,10203
20,Remo Freuler,https://www.fotmob.com/players/201704/remo-freuler,6.74,10203
21,Jesse Lingard,https://www.fotmob.com/players/299215/jesse-lingard,6.4,10203
22,Cafu,https://www.fotmob.com/players/361768/cafu,,10203
23,Gustavo Scarpa,https://www.fotmob.com/players/544424/gustavo-scarpa,6.45,10203
24,Orel Mangala,https://www.fotmob.com/players/765693/orel-mangala,6.51,10203
25,Ryan Yates,https://www.fotmob.com/players/775614/ryan-yates,6.78,10203
26,Morgan Gibbs-White,https://www.fotmob.com/players/789502/morgan-gibbs-white,6.91,10203
27,Danilo,https://www.fotmob.com/players/1181700/danilo,6.62,10203
28,Lyle Taylor,https://www.fotmob.com/players/156937/lyle-taylor,,10203
29,Chris Wood,https://www.fotmob.com/players/169719/chris-wood,6.48,10203
30,Taiwo Awoniyi,https://www.fotmob.com/players/643717/taiwo-awoniyi,6.41,10203
31,Emmanuel Dennis,https://www.fotmob.com/players/769673/emmanuel-dennis,6.59,10203
32,Sam Surridge,https://www.fotmob.com/players/796747/sam-surridge,6.23,10203
33,Brennan Johnson,https://www.fotmob.com/players/1076756/brennan-johnson,6.66,10203
34,Alex Mighten,https://www.fotmob.com/players/1081174/alex-mighten,,10203
0,Darren Randolph,https://www.fotmob.com/players/37780/darren-randolph,,8678
1,Neto,https://www.fotmob.com/players/176186/neto,6.75,8678
2,Mark Travers,https://www.fotmob.com/players/731855/mark-travers,6.02,8678
3,Adam Smith,https://www.fotmob.com/players/160447/adam-smith,6.51,8678
4,Ryan Fredericks,https://www.fotmob.com/players/194323/ryan-fredericks,6.21,8678
5,Jack Stephens,https://www.fotmob.com/players/215387/jack-stephens,6.71,8678
6,Jack Stacey,https://www.fotmob.com/players/564794/jack-stacey,6.14,8678
7,Marcos Senesi,https://www.fotmob.com/players/785411/marcos-senesi,6.7,8678
8,Lloyd Kelly,https://www.fotmob.com/players/819215/lloyd-kelly,6.71,8678
9,Chris Mepham,https://www.fotmob.com/players/819762/chris-mepham,6.4,8678
10,Matias Vina,https://www.fotmob.com/players/840184/matias-vina,7.36,8678
11,Jordan Zemura,https://www.fotmob.com/players/982633/jordan-zemura,6.71,8678
12,Illia Zabarnyi,https://www.fotmob.com/players/1140003/illia-zabarnyi,,8678
13,Ben Greenwood,https://www.fotmob.com/players/1281465/ben-greenwood,,8678
14,Junior Stanislas,https://www.fotmob.com/players/160496/junior-stanislas,6.11,8678
15,Ryan Christie,https://www.fotmob.com/players/439369/ryan-christie,6.75,8678
16,Jefferson Lerma,https://www.fotmob.com/players/466672/jefferson-lerma,7.04,8678
17,Philip Billing,https://www.fotmob.com/players/532743/philip-billing,7.12,8678
18,Lewis Cook,https://www.fotmob.com/players/562724/lewis-cook,6.8,8678
19,Joe Rothwell,https://www.fotmob.com/players/613182/joe-rothwell,6.66,8678
20,David Brooks,https://www.fotmob.com/players/674014/david-brooks,5.92,8678
21,Marcus Tavernier,https://www.fotmob.com/players/789630/marcus-tavernier,7.07,8678
22,Hamed Traorè,https://www.fotmob.com/players/875672/hamed-traor,6.98,8678
23,Jaidon Anthony,https://www.fotmob.com/players/1171140/jaidon-anthony,6.53,8678
24,Kieffer Moore,https://www.fotmob.com/players/469202/kieffer-moore,6.39,8678
25,Dominic Solanke,https://www.fotmob.com/players/591734/dominic-solanke,6.74,8678
26,Antoine Semenyo,https://www.fotmob.com/players/933576/antoine-semenyo,6.08,8678
27,Dango Ouattara,https://www.fotmob.com/players/1250253/dango-ouattara,7.07,8678
0,Alex Smithies,https://www.fotmob.com/players/103027/alex-smithies,,8197
1,Danny Ward,https://www.fotmob.com/players/254472/danny-ward,6.48,8197
2,Daniel Iversen,https://www.fotmob.com/players/617763/daniel-iversen,6.4,8197
3,Jonny Evans,https://www.fotmob.com/players/43248/jonny-evans,6.32,8197
4,Ryan Bertrand,https://www.fotmob.com/players/46010/ryan-bertrand,,8197
5,Jannik Vestergaard,https://www.fotmob.com/players/205893/jannik-vestergaard,,8197
6,Ricardo Pereira,https://www.fotmob.com/players/306128/ricardo-pereira,7.18,8197
7,Daniel Amartey,https://www.fotmob.com/players/436036/daniel-amartey,6.73,8197
8,Timothy Castagne,https://www.fotmob.com/players/465750/timothy-castagne,7.0,8197
9,Caglar Söyüncü,https://www.fotmob.com/players/602261/caglar-syüncü,7.19,8197
10,Harry Souttar,https://www.fotmob.com/players/671518/harry-souttar,6.8,8197
11,Wout Faes,https://www.fotmob.com/players/693678/wout-faes,6.78,8197
12,James Justin,https://www.fotmob.com/players/710158/james-justin,6.87,8197
13,Luke Thomas,https://www.fotmob.com/players/916332/luke-thomas,6.57,8197
14,Victor Kristiansen,https://www.fotmob.com/players/1211437/victor-kristiansen,6.84,8197
15,Nampalys Mendy,https://www.fotmob.com/players/210128/nampalys-mendy,6.57,8197
16,Dennis Praet,https://www.fotmob.com/players/282012/dennis-praet,6.36,8197
17,Youri Tielemans,https://www.fotmob.com/players/465960/youri-tielemans,7.19,8197
18,James Maddison,https://www.fotmob.com/players/493165/james-maddison,7.44,8197
19,Wilfred Ndidi,https://www.fotmob.com/players/533228/wilfred-ndidi,6.54,8197
20,Boubakary Soumaré,https://www.fotmob.com/players/882401/boubakary-soumar,6.85,8197
21,Kiernan Dewsbury-Hall,https://www.fotmob.com/players/886016/kiernan-dewsbury-hall,7.03,8197
22,Jamie Vardy,https://www.fotmob.com/players/286119/jamie-vardy,6.28,8197
23,Kelechi Iheanacho,https://www.fotmob.com/players/643709/kelechi-iheanacho,6.5,8197
24,Patson Daka,https://www.fotmob.com/players/644459/patson-daka,6.55,8197
25,Harvey Barnes,https://www.fotmob.com/players/760359/harvey-barnes,6.73,8197
26,Tete,https://www.fotmob.com/players/1039534/tete,6.72,8197
0,Lukasz Fabianski,https://www.fotmob.com/players/30973/lukasz-fabianski,6.72,8654
1,Alphonse Areola,https://www.fotmob.com/players/210164/alphonse-areola,6.21,8654
2,Angelo Ogbonna,https://www.fotmob.com/players/49543/angelo-ogbonna,6.71,8654
3,Aaron Cresswell,https://www.fotmob.com/players/155782/aaron-cresswell,7.0,8654
4,Emerson,https://www.fotmob.com/players/267371/emerson,6.65,8654
5,Kurt Zouma,https://www.fotmob.com/players/281207/kurt-zouma,6.87,8654
6,Vladimir Coufal,https://www.fotmob.com/players/307317/vladimir-coufal,6.98,8654
7,Thilo Kehrer,https://www.fotmob.com/players/604088/thilo-kehrer,6.68,8654
8,Naif Aguerd,https://www.fotmob.com/players/617310/naif-aguerd,6.81,8654
9,Ben Johnson,https://www.fotmob.com/players/770267/ben-johnson,6.8,8654
10,Manuel Lanzini,https://www.fotmob.com/players/210276/manuel-lanzini,6.04,8654
11,Tomas Soucek,https://www.fotmob.com/players/524437/tomas-soucek,6.8,8654
12,Declan Rice,https://www.fotmob.com/players/654096/declan-rice,7.43,8654
13,Lucas Paquetá,https://www.fotmob.com/players/766435/lucas-paquet,7.27,8654
14,Flynn Downes,https://www.fotmob.com/players/844943/flynn-downes,6.33,8654
15,Michail Antonio,https://www.fotmob.com/players/158545/michail-antonio,6.38,8654
16,Danny Ings,https://www.fotmob.com/players/214426/danny-ings,6.7,8654
17,Maxwel Cornet,https://www.fotmob.com/players/426880/maxwel-cornet,6.24,8654
18,Said Benrahma,https://www.fotmob.com/players/491883/said-benrahma,6.91,8654
19,Jarrod Bowen,https://www.fotmob.com/players/523825/jarrod-bowen,7.0,8654
20,Pablo Fornals,https://www.fotmob.com/players/683450/pablo-fornals,6.69,8654
21,Gianluca Scamacca,https://www.fotmob.com/players/721089/gianluca-scamacca,6.55,8654
0,Wilfredo Caballero,https://www.fotmob.com/players/28955/wilfredo-caballero,,8466
1,Alex McCarthy,https://www.fotmob.com/players/119079/alex-mccarthy,,8466
2,Gavin Bazunu,https://www.fotmob.com/players/939390/gavin-bazunu,6.48,8466
3,Jan Bednarek,https://www.fotmob.com/players/490868/jan-bednarek,6.73,8466
4,James Bree,https://www.fotmob.com/players/539939/james-bree,6.72,8466
5,Duje Caleta-Car,https://www.fotmob.com/players/557799/duje-caleta-car,6.8,8466
6,Lyanco,https://www.fotmob.com/players/654045/lyanco,6.56,8466
7,Kyle Walker-Peters,https://www.fotmob.com/players/734042/kyle-walker-peters,6.7,8466
8,Romain Perraud,https://www.fotmob.com/players/815465/romain-perraud,6.54,8466
9,Moussa Djenepo,https://www.fotmob.com/players/862645/moussa-djenepo,6.69,8466
10,Mohammed Salisu,https://www.fotmob.com/players/938247/mohammed-salisu,6.95,8466
11,Armel Bella-Kotchap,https://www.fotmob.com/players/951765/armel-bella-kotchap,7.0,8466
12,Valentino Livramento,https://www.fotmob.com/players/1107910/valentino-livramento,,8466
13,Juan Larios,https://www.fotmob.com/players/1195885/juan-larios,6.4,8466
14,Stuart Armstrong,https://www.fotmob.com/players/237563/stuart-armstrong,6.46,8466
15,Mohamed Elyounoussi,https://www.fotmob.com/players/261936/mohamed-elyounoussi,6.59,8466
16,James Ward-Prowse,https://www.fotmob.com/players/279490/james-ward-prowse,7.24,8466
17,Ainsley Maitland-Niles,https://www.fotmob.com/players/604089/ainsley-maitland-niles,6.83,8466
18,Joe Aribo,https://www.fotmob.com/players/798659/joe-aribo,6.69,8466
19,Ibrahima Diallo,https://www.fotmob.com/players/938539/ibrahima-diallo,6.6,8466
20,Carlos Alcaraz,https://www.fotmob.com/players/1128965/carlos-alcaraz,6.68,8466
21,Romeo Lavia,https://www.fotmob.com/players/1190867/romeo-lavia,7.1,8466
22,Theo Walcott,https://www.fotmob.com/players/31013/theo-walcott,6.62,8466
23,Mislav Orsic,https://www.fotmob.com/players/184595/mislav-orsic,,8466
24,Paul Onuachu,https://www.fotmob.com/players/412357/paul-onuachu,6.34,8466
25,Adam Armstrong,https://www.fotmob.com/players/519835/adam-armstrong,6.36,8466
26,Che Adams,https://www.fotmob.com/players/599353/che-adams,6.73,8466
27,Kamaldeen Sulemana,https://www.fotmob.com/players/1130691/kamaldeen-sulemana,6.57,8466
28,Samuel Edozie,https://www.fotmob.com/players/1130774/samuel-edozie,6.4,8466
29,Sékou Mara,https://www.fotmob.com/players/1177312/skou-mara,6.26,8466
0,Robin Olsen,https://www.fotmob.com/players/120569/robin-olsen,6.7,10252
1,Jed Steer,https://www.fotmob.com/players/190142/jed-steer,,10252
2,Emiliano Martinez,https://www.fotmob.com/players/268375/emiliano-martinez,7.14,10252
3,Oliwier Zych,https://www.fotmob.com/players/1117055/oliwier-zych,,10252
4,Viljami Sinisalo,https://www.fotmob.com/players/1185782/viljami-sinisalo,,10252
5,Ashley Young,https://www.fotmob.com/players/23354/ashley-young,,10252
6,Lucas Digne,https://www.fotmob.com/players/210111/lucas-digne,6.96,10252
7,Tyrone Mings,https://www.fotmob.com/players/419664/tyrone-mings,6.54,10252
8,Calum Chambers,https://www.fotmob.com/players/425255/calum-chambers,6.91,10252
9,Álex Moreno,https://www.fotmob.com/players/477588/lex-moreno,6.45,10252
10,Diego Carlos,https://www.fotmob.com/players/570434/diego-carlos,7.04,10252
11,Ezri Konsa,https://www.fotmob.com/players/710159/ezri-konsa,6.7,10252
12,Matty Cash,https://www.fotmob.com/players/729731/matty-cash,6.82,10252
13,Philippe Coutinho,https://www.fotmob.com/players/184536/philippe-coutinho,6.84,10252
14,John McGinn,https://www.fotmob.com/players/356406/john-mcginn,6.53,10252
15,Leander Dendoncker,https://www.fotmob.com/players/424129/leander-dendoncker,7.1,10252
16,Emiliano Buendia,https://www.fotmob.com/players/610184/emiliano-buendia,6.54,10252
17,Douglas Luiz,https://www.fotmob.com/players/787350/douglas-luiz,6.89,10252
18,Boubacar Kamara,https://www.fotmob.com/players/816325/boubacar-kamara,7.28,10252
19,Jacob Ramsey,https://www.fotmob.com/players/1021929/jacob-ramsey,6.91,10252
20,Bertrand Traoré,https://www.fotmob.com/players/303059/bertrand-traor,7.08,10252
21,Ollie Watkins,https://www.fotmob.com/players/540088/ollie-watkins,6.33,10252
22,Leon Bailey,https://www.fotmob.com/players/671331/leon-bailey,7.18,10252
23,Jhon Duran,https://www.fotmob.com/players/1088066/jhon-duran,6.49,10252
0,Tom Heaton,https://www.fotmob.com/players/24155/tom-heaton,,10260
1,David De Gea,https://www.fotmob.com/players/182917/david-de-gea,6.73,10260
2,Jack Butland,https://www.fotmob.com/players/288880/jack-butland,,10260
3,Phil Jones,https://www.fotmob.com/players/186137/phil-jones,,10260
4,Raphaël Varane,https://www.fotmob.com/players/230982/raphal-varane,6.83,10260
5,Harry Maguire,https://www.fotmob.com/players/255610/harry-maguire,6.99,10260
6,Victor Nilsson Lindelöf,https://www.fotmob.com/players/258269/victor-nilsson-lindelf,7.13,10260
7,Luke Shaw,https://www.fotmob.com/players/362694/luke-shaw,7.13,10260
8,Diogo Dalot,https://www.fotmob.com/players/751550/diogo-dalot,7.3,10260
9,Aaron Wan-Bissaka,https://www.fotmob.com/players/760320/aaron-wan-bissaka,7.29,10260
10,Lisandro Martinez,https://www.fotmob.com/players/847983/lisandro-martinez,7.1,10260
11,Tyrell Malacia,https://www.fotmob.com/players/865118/tyrell-malacia,6.98,10260
12,Brandon Williams,https://www.fotmob.com/players/1077907/brandon-williams,,10260
13,Christian Eriksen,https://www.fotmob.com/players/157723/christian-eriksen,7.08,10260
14,Casemiro,https://www.fotmob.com/players/208494/casemiro,7.28,10260
15,Marcel Sabitzer,https://www.fotmob.com/players/215151/marcel-sabitzer,7.07,10260
16,Fred,https://www.fotmob.com/players/322049/fred,6.81,10260
17,Bruno Fernandes,https://www.fotmob.com/players/422685/bruno-fernandes,7.72,10260
18,Donny van de Beek,https://www.fotmob.com/players/612836/donny-van-de-beek,6.34,10260
19,Scott McTominay,https://www.fotmob.com/players/843099/scott-mctominay,6.8,10260
20,Kobbie Mainoo,https://www.fotmob.com/players/1292810/kobbie-mainoo,5.97,10260
21,Wout Weghorst,https://www.fotmob.com/players/351999/wout-weghorst,6.51,10260
22,Anthony Martial,https://www.fotmob.com/players/413557/anthony-martial,6.88,10260
23,Marcus Rashford,https://www.fotmob.com/players/696365/marcus-rashford,7.32,10260
24,Jadon Sancho,https://www.fotmob.com/players/846381/jadon-sancho,7.26,10260
25,Mason Greenwood,https://www.fotmob.com/players/950473/mason-greenwood,,10260
26,Antony,https://www.fotmob.com/players/967622/antony,7.28,10260
27,Anthony Elanga,https://www.fotmob.com/players/1050166/anthony-elanga,6.52,10260
28,Facundo Pellistri,https://www.fotmob.com/players/1073402/facundo-pellistri,6.04,10260
29,Alejandro Garnacho,https://www.fotmob.com/players/1203665/alejandro-garnacho,6.48,10260
0,Daniel Bentley,https://www.fotmob.com/players/189103/daniel-bentley,,8602
1,José Sá,https://www.fotmob.com/players/416175/jos-sá,6.65,8602
2,Louie Moulden,https://www.fotmob.com/players/997557/louie-moulden,,8602
3,Craig Dawson,https://www.fotmob.com/players/169162/craig-dawson,6.82,8602
4,Jonny,https://www.fotmob.com/players/360918/jonny,6.7,8602
5,Nélson Semedo,https://www.fotmob.com/players/470834/nlson-semedo,6.86,8602
6,Max Kilman,https://www.fotmob.com/players/865931/max-kilman,6.88,8602
7,Rayan Ait Nouri,https://www.fotmob.com/players/933845/rayan-ait-nouri,6.73,8602
8,Nathan Collins,https://www.fotmob.com/players/961306/nathan-collins,6.68,8602
9,Toti Gomes,https://www.fotmob.com/players/1013277/toti-gomes,6.85,8602
10,Hugo Bueno,https://www.fotmob.com/players/1116391/hugo-bueno,6.73,8602
11,Joao Moutinho,https://www.fotmob.com/players/37549/joao-moutinho,6.74,8602
12,Mario Lemina,https://www.fotmob.com/players/421786/mario-lemina,6.85,8602
13,Ruben Neves,https://www.fotmob.com/players/534684/ruben-neves,7.35,8602
14,Matheus Nunes,https://www.fotmob.com/players/955529/matheus-nunes,6.87,8602
15,Boubacar Traore,https://www.fotmob.com/players/1054122/boubacar-traore,6.58,8602
16,Joe Hodge,https://www.fotmob.com/players/1070794/joe-hodge,6.38,8602
17,Chiquinho,https://www.fotmob.com/players/1127007/chiquinho,,8602
18,Joao Gomes,https://www.fotmob.com/players/1174672/joao-gomes,7.21,8602
19,Mackenzie Bradbury,https://www.fotmob.com/players/1467041/mackenzie-bradbury,,8602
20,Diego Costa,https://www.fotmob.com/players/19243/diego-costa,6.12,8602
21,Pablo Sarabia,https://www.fotmob.com/players/240054/pablo-sarabia,6.49,8602
22,Raul Jiménez,https://www.fotmob.com/players/292313/raul-jimnez,6.51,8602
23,Adama Traoré,https://www.fotmob.com/players/493647/adama-traor,6.61,8602
24,Daniel Podence,https://www.fotmob.com/players/524435/daniel-podence,6.76,8602
25,Hee-Chan Hwang,https://www.fotmob.com/players/620026/hee-chan-hwang,6.38,8602
26,Pedro Neto,https://www.fotmob.com/players/843040/pedro-neto,6.68,8602
27,Sasa Kalajdzic,https://www.fotmob.com/players/858198/sasa-kalajdzic,6.55,8602
28,Matheus Cunha,https://www.fotmob.com/players/863098/matheus-cunha,6.69,8602
0,Andy Lonergan,https://www.fotmob.com/players/23184/andy-lonergan,,8668
1,Asmir Begovic,https://www.fotmob.com/players/46518/asmir-begovic,7.91,8668
2,Jordan Pickford,https://www.fotmob.com/players/303919/jordan-pickford,6.7,8668
3,Seamus Coleman,https://www.fotmob.com/players/77690/seamus-coleman,6.84,8668
4,James Tarkowski,https://www.fotmob.com/players/243138/james-tarkowski,6.97,8668
5,Conor Coady,https://www.fotmob.com/players/247761/conor-coady,6.65,8668
6,Michael Keane,https://www.fotmob.com/players/290410/michael-keane,7.1,8668
7,Yerry Mina,https://www.fotmob.com/players/496042/yerry-mina,7.14,8668
8,Mason Holgate,https://www.fotmob.com/players/603329/mason-holgate,6.83,8668
9,Ben Godfrey,https://www.fotmob.com/players/662936/ben-godfrey,6.61,8668
10,Ruben Vinagre,https://www.fotmob.com/players/862467/ruben-vinagre,6.26,8668
11,Vitalii Mykolenko,https://www.fotmob.com/players/874025/vitalii-mykolenko,6.82,8668
12,Nathan Patterson,https://www.fotmob.com/players/1112684/nathan-patterson,6.75,8668
13,Idrissa Gana Gueye,https://www.fotmob.com/players/179410/idrissa-gana-gueye,7.13,8668
14,Abdoulaye Doucouré,https://www.fotmob.com/players/352887/abdoulaye-doucour,6.78,8668
15,Alex Iwobi,https://www.fotmob.com/players/604785/alex-iwobi,7.2,8668
16,Tom Davies,https://www.fotmob.com/players/742405/tom-davies,6.3,8668
17,Dwight McNeil,https://www.fotmob.com/players/939542/dwight-mcneil,6.99,8668
18,James Garner,https://www.fotmob.com/players/950474/james-garner,6.68,8668
19,Amadou Onana,https://www.fotmob.com/players/1185748/amadou-onana,6.99,8668
20,Andros Townsend,https://www.fotmob.com/players/166422/andros-townsend,,8668
21,Neal Maupay,https://www.fotmob.com/players/391064/neal-maupay,6.3,8668
22,Demarai Gray,https://www.fotmob.com/players/492586/demarai-gray,6.71,8668
23,Dominic Calvert-Lewin,https://www.fotmob.com/players/612150/dominic-calvert-lewin,6.36,8668
24,Ellis Simms,https://www.fotmob.com/players/982284/ellis-simms,6.24,8668
0,Martin Dubravka,https://www.fotmob.com/players/72241/martin-dubravka,6.4,10261
1,Mark Gillespie,https://www.fotmob.com/players/195668/mark-gillespie,,10261
2,Nick Pope,https://www.fotmob.com/players/280484/nick-pope,7.0,10261
3,Loris Karius,https://www.fotmob.com/players/287894/loris-karius,,10261
4,Daniel Burn,https://www.fotmob.com/players/188058/daniel-burn,7.05,10261
5,Fabian Schär,https://www.fotmob.com/players/189982/fabian-schr,7.46,10261
6,Kieran Trippier,https://www.fotmob.com/players/191869/kieran-trippier,7.82,10261
7,Emil Krafth,https://www.fotmob.com/players/259306/emil-krafth,,10261
8,Jamaal Lascelles,https://www.fotmob.com/players/279489/jamaal-lascelles,6.1,10261
9,Javier Manquillo,https://www.fotmob.com/players/299984/javier-manquillo,6.48,10261
10,Paul Dummett,https://www.fotmob.com/players/308932/paul-dummett,,10261
11,Matt Targett,https://www.fotmob.com/players/538112/matt-targett,6.76,10261
12,Jamal Lewis,https://www.fotmob.com/players/864983/jamal-lewis,,10261
13,Sven Botman,https://www.fotmob.com/players/956682/sven-botman,7.07,10261
14,Harrison Ashby,https://www.fotmob.com/players/1111611/harrison-ashby,,10261
15,Joelinton,https://www.fotmob.com/players/535936/joelinton,7.44,10261
16,Sean Longstaff,https://www.fotmob.com/players/820024/sean-longstaff,6.89,10261
17,Bruno Guimaraes,https://www.fotmob.com/players/850354/bruno-guimaraes,7.57,10261
18,Joseph Willock,https://www.fotmob.com/players/860975/joseph-willock,7.07,10261
